participant,rt,accuracy,item,task,control,AgeGroup
10,2788.7,1,pen,Size,cong,Younger
10,1938,1,mop,Size,cong,Younger
10,2572.3,1,snow,Colour,cong,Younger
10,2455,1,butter,Colour,cong,Younger
10,2002.8,1,oregano,Colour,cong,Younger
10,1970.4,1,fork,Size,cong,Younger
10,2940.2,1,doctor,Size,cong,Younger
10,2756,1,dancer,Size,cong,Younger
10,3636.2,1,rice,Colour,incon,Younger
10,2903.6,1,tar,Colour,incon,Younger
10,2771.1,1,trumpet,Colour,incon,Younger
10,2187.7,1,diary,Size,incon,Younger
10,2305.6,1,gun,Size,incon,Younger
10,1735.7,1,football,Size,incon,Younger
10,2037.6,1,cranberry,Colour,incon,Younger
10,1971.5,1,cloud,Colour,incon,Younger
10,2355.8,1,chalk,Colour,incon,Younger
10,2572.1,1,handbag,Size,incon,Younger
10,2471.6,1,cup,Size,incon,Younger
10,2387,1,tribe,Size,incon,Younger
10,2636.2,1,highlighter,Colour,incon,Younger
10,4305.2,1,paper,Colour,incon,Younger
10,3036.3,1,lion,Colour,incon,Younger
10,4321.8,1,pencil,Size,incon,Younger
10,3238.3,1,theatre,Size,incon,Younger
10,3936.5,1,lighter,Size,incon,Younger
10,6571.7,1,blackboard,Colour,incon,Younger
10,4572.1,1,bread,Colour,incon,Younger
10,3655.4,1,dove,Colour,incon,Younger
10,3388.7,1,stool,Size,incon,Younger
10,4287.5,1,chair,Size,incon,Younger
10,4019.8,1,box,Size,incon,Younger
11,1522.5,1,ham,Colour,cong,Younger
11,1666,1,blood,Colour,cong,Younger
11,1922.9,1,broccoli,Colour,cong,Younger
11,3431.2,1,hammer,Size,cong,Younger
11,1483.5,1,orange,Size,cong,Younger
11,1443,1,mouth,Size,cong,Younger
11,1956.5,1,coffee,Colour,cong,Younger
11,1487.9,1,ketchup,Colour,cong,Younger
11,1333.1,1,rhino,Colour,cong,Younger
11,1773.6,1,wasp,Size,cong,Younger
11,1838.8,1,goose,Size,cong,Younger
11,2206.8,1,donkey,Size,cong,Younger
11,2298.8,1,sunflower,Colour,cong,Younger
11,1641,1,gin,Colour,cong,Younger
11,4020.2,1,grass,Colour,cong,Younger
11,3178.4,1,window,Size,cong,Younger
11,1470.2,1,pen,Size,cong,Younger
11,2772.8,1,mop,Size,cong,Younger
11,3359.2,1,snow,Colour,cong,Younger
11,2066.1,1,butter,Colour,cong,Younger
11,2314.6,1,oregano,Colour,cong,Younger
11,5014.7,1,fork,Size,cong,Younger
11,2140,1,doctor,Size,cong,Younger
11,2328.6,1,dancer,Size,cong,Younger
11,3001.1,0,rice,Colour,incon,Younger
11,2965.2,1,tar,Colour,incon,Younger
11,4046.8,1,trumpet,Colour,incon,Younger
11,2313.6,1,diary,Size,incon,Younger
11,1263.2,0,gun,Size,incon,Younger
11,1270.5,0,football,Size,incon,Younger
11,3263.2,0,cranberry,Colour,incon,Younger
11,2473.8,1,cloud,Colour,incon,Younger
11,3045.5,1,chalk,Colour,incon,Younger
11,2019.2,1,handbag,Size,incon,Younger
11,1213.5,1,cup,Size,incon,Younger
11,2709.2,1,tribe,Size,incon,Younger
11,7743.8,1,highlighter,Colour,incon,Younger
